Number,Name,Designation,Orbit,H Mag,Type [1],Vis,NIR,Taxon,Type [3],Slope,PC1',PC2',PC3',PC4',PC5',Date (UT),Telescope,Simplified Category
132,Aethra,1949 MD,MC,9.4,VISNIR,10,*, ,Xe,0.1029,-0.3769,-0.0887,-0.1182,-0.0119,0.0107,2005-09-05,IRTF 3m,X-Group
433,Eros,1898 DQ,AMO,11.2,VISNIR,10,*,,Sw,0.2812,0.061,-0.0068,0.1849,-0.0187,-0.0096,2002-08-17,IRTF 3m,S-Group
512,Taurinensis,1903 LV,MC,10.7,VISNIR,10,*,,Sqw,0.2909,-0.1463,0.0885,0.2035,0.0184,0.0066,2004-10-16,IRTF 3m,S-Group
699,Hela,1910 KD,MC,11.7,VISNIR,10,*,,Sq,0.1185,-0.0876,0.0532,0.0094,0.0472,0.0173,2005-01-08,IRTF 3m,S-Group
719,Albert,1911 MT,AMO,15.4,VISNIR,5,*,,S,0.2017,0.1272,-0.0302,0.0746,0.0057,-0.0302,2001-08-23,IRTF 3m,S-Group
1011,Laodamia        ,1924 PK,MC,12.7,VISNIR,10,*,,Sqw,0.294,-0.0864,0.0717,0.277,-0.0403,0.0544,2002-01-12,IRTF 3m,S-Group
1036,Ganymed,1924 TD,AMO,9.4,VISNIR,5,*,,Sr,0.185,0.2069,0.084,0.0152,0.0163,0.0325,2011-12-01,IRTF 3m,S-Group
1131,Porzia,1929 RO,MC,12.9,VISNIR,10,*,,S,0.2001,0.0293,0.013,0.2193,0.0078,0.0178,2004-02-19,IRTF 3m,S-Group
1139,Atami,1929 XE,MC,12.5,VISNIR,10,*,,Sw,0.3141,-0.0607,0.0599,0.21,-0.0025,0.0011,2005-09-05,IRTF 3m,S-Group
1198,Atlantis,1931 RA,MC,14.4,VISNIR,82,*,,Sw,0.4059,0.2511,-0.1157,-0.0233,0.0837,-0.0083,2002-10-28,IRTF 3m,S-Group
1204,Renzia,1931 TE,MC,11.9,VISNIR,10,*, ,Sw,0.2907,-0.0814,0.027,0.1072,0.0397,-0.011,2005-03-10,IRTF 3m,S-Group
1374,Isora,1935 UA,MC,13.2,VISNIR,10,*,,Sq,0.1447,-0.3497,0.115,0.1635,-0.0008,0.007,2004-02-20,IRTF 3m,S-Group
1468,Zomba,1938 PA,MC,12.7,VISNIR,63,*,,V,0.4722,1.7186,0.6458,-0.0026,0.0934,-0.0404,2003-09-30,IRTF 3m,V-type
1508,Kemi,1938 UP,MC,12.0,VISNIR,10,*,,B,-0.0248,-0.4534,-0.0773,-0.1414,-0.0687,-0.0077,2004-02-19,IRTF 3m,C-Group
1565,Lemaitre,1948 WA,MC,12.5,VISNIR,10,*,,Sr,0.081,-0.0956,0.1636,-0.1714,-0.1455,0.1434,2005-03-03,IRTF 3m,S-Group
1566,Icarus,1949 MA,APO,16.9,VISNIR,29,*,,Q,0.192,-0.7202,0.2726,0.1542,0.0367,-0.1256,2005-06-10,IRTF 3m,S-Group
1620,Geographos,1951 RA,APO,15.6,VISNIR,10,*,,S,0.1643,-0.035,0.0304,0.141,0.0515,-0.0234,2001-01-29,IRTF 3m,S-Group
1627,Ivar,1929 SH,AMO,13.2,VISNIR,10,*,,Sw,0.3027,-0.0624,0.071,0.2007,-0.0169,0.0313,2008-10-02,IRTF 3m,S-Group
1640,Nemo,1951 QA,MC,13.1,VISNIR,10,*,,S,0.1622,0.0658,-0.0301,0.0744,0.0069,-0.0325,2005-03-08,IRTF 3m,S-Group
1685,Toro,1948 OA,APO,14.2,VISNIR,5,*,,Sq,0.1566,-0.159,0.0649,0.1443,0.0098,0.0052,2005-03-09,IRTF 3m,S-Group
1747,Wright,1947 NH,MC,13.3,VISNIR,10,52,,Sw,0.3329,0.636,-0.1425,-0.0018,0.0136,0.0093,2012-09-18,IRTF 3m,S-Group
1862,Apollo,1932 HA,APO,16.2,VISNIR,10,*,,Q,0.1277,-0.597,0.2046,0.196,-0.0821,0.0346,2005-11-22,IRTF 3m,S-Group
1864,Daedalus,1971 FA,APO,14.8,VISNIR,10,*,,Sq,0.0482,-0.248,0.0917,0.1703,-0.08,0.0282,2001-03-29,IRTF 3m,S-Group
1865,Cerberus,1971 UA,APO,16.8,VISNIR,10,*,,S,0.117,-0.022,0.0635,0.0545,0.0087,0.034,2008-10-31,IRTF 3m,S-Group
1866,Sisyphus,1972 XA,APO,12.4,VISNIR,10,*,,Sw,0.3499,0.0466,0.0019,0.0701,-0.0077,0.0562,2006-11-21,IRTF 3m,S-Group
1916,Boreas,1953 RA,AMO,14.9,VISNIR,5,*,,Sw,0.3921,-0.0195,0.0595,0.0942,0.0139,-0.0005,2001-08-14,IRTF 3m,S-Group
1917,Cuyo,1968 AA,AMO,13.9,VISNIR,10,*,,Sv,0.0577,0.6732,-0.0137,0.024,-0.0459,0.0105,2008-07-07,IRTF 3m,S-Group
1943,Anteros,1973 EC,AMO,15.8,VISNIR,6,*,,Sw,0.2771,0.1559,-0.0722,0.075,0.0508,0.0092,2002-01-12,IRTF 3m,S-Group
1951,Lick,1949 OA,MC,14.0,VISNIR,10,*,,A,1.1624,-0.8971,0.0515,0.6432,-0.067,-0.0197,2008-07-07,IRTF 3m,S-Group
1980,Tezcatlipoca,1950 LA,AMO,13.9,VISNIR,5,*,,Sw,0.4095,-0.0169,0.0585,0.1891,0.0222,0.0402,2006-10-25,IRTF 3m,S-Group
1981,Midas,1973 EA,APO,15.1,VISNIR,5,*,,V,0.06,0.2961,0.9496,-0.0189,0.1103,-0.0089,2013-10-31,IRTF 3m,V-type
2063,Bacchus,1977 HB,APO,17.2,VISNIR,6,*,,Sq,0.0697,-0.3123,0.0656,0.1398,-0.0667,0.0271,2005-05-19,IRTF 3m,S-Group
2064,Thomsen,1942 RQ,MC,12.5,VISNIR,10,*,,Sqw,0.2553,-0.1854,0.0216,0.1789,0.0026,0.0112,2006-06-29,IRTF 3m,S-Group
